Color Code,Probability,Codeword
0,0,00000000
1,1.52587890625e-05,00000001
2,1.52587890625e-05,00000010
3,4.57763671875e-05,00000011
4,7.62939453125e-05,00000100
5,7.62939453125e-05,00000101
6,0.000244140625,00000110
7,0.0001220703125,00000111
8,0.0001678466796875,00001000
9,0.000213623046875,00001001
10,0.000244140625,00001010
11,0.0001373291015625,00001011
12,0.0001678466796875,00001100
13,0.0001678466796875,00001101
14,0.000213623046875,00001110
15,0.000213623046875,00001111
16,7.62939453125e-05,00010000
17,0.0001678466796875,00010001
18,0.0001220703125,00010010
19,0.0001678466796875,00010011
20,0.0001068115234375,00010100
21,0.000152587890625,00010101
22,6.103515625e-05,00010110
23,9.1552734375e-05,00010111
24,0.0001678466796875,00011000
25,0.0002288818359375,00011001
26,0.0001678466796875,00011010
27,9.1552734375e-05,00011011
28,0.0001678466796875,00011100
29,6.103515625e-05,00011101
30,9.1552734375e-05,00011110
31,0.0001068115234375,00011111
32,0.0001373291015625,00100000
33,4.57763671875e-05,00100001
34,0.0001373291015625,00100010
35,0.0001678466796875,00100011
36,9.1552734375e-05,00100100
37,0.0001678466796875,00100101
38,0.00018310546875,00100110
39,0.0001983642578125,00100111
40,0.0001678466796875,00101000
41,0.0001373291015625,00101001
42,0.0001373291015625,00101010
43,0.000213623046875,00101011
44,9.1552734375e-05,00101100
45,0.0002899169921875,00101101
46,0.0001983642578125,00101110
47,0.0002593994140625,00101111
48,0.00018310546875,00110000
49,0.000457763671875,00110001
50,0.000244140625,00110010
51,0.00042724609375,00110011
52,0.0003662109375,00110100
53,0.0004119873046875,00110101
54,0.0006866455078125,00110110
55,0.000579833984375,00110111
56,0.0006256103515625,00111000
57,0.000701904296875,00111001
58,0.0006103515625,00111010
59,0.0006103515625,00111011
60,0.00067138671875,00111100
61,0.0007781982421875,00111101
62,0.001068115234375,00111110
63,0.0011138916015625,00111111
64,0.0012054443359375,01000000
65,0.0013580322265625,01000001
66,0.001739501953125,01000010
67,0.001678466796875,01000011
68,0.001983642578125,01000100
69,0.002227783203125,01000101
70,0.00244140625,01000110
71,0.003082275390625,01000111
72,0.0034027099609375,01001000
73,0.0034637451171875,01001001
74,0.0037384033203125,01001010
75,0.0045166015625,01001011
76,0.0054168701171875,01001100
77,0.005523681640625,01001101
78,0.0064544677734375,01001110
79,0.00689697265625,01001111
80,0.0068359375,01010000
81,0.0067138671875,01010001
82,0.0073089599609375,01010010
83,0.0073089599609375,01010011
84,0.0086669921875,01010100
85,0.0074462890625,01010101
86,0.008758544921875,01010110
87,0.0089263916015625,01010111
88,0.008514404296875,01011000
89,0.0079803466796875,01011001
90,0.009124755859375,01011010
91,0.0081787109375,01011011
92,0.0083160400390625,01011100
93,0.0083465576171875,01011101
94,0.007232666015625,01011110
95,0.0072021484375,01011111
96,0.006561279296875,01100000
97,0.006591796875,01100001
98,0.0051116943359375,01100010
99,0.005645751953125,01100011
100,0.0050201416015625,01100100
101,0.004638671875,01100101
102,0.0043792724609375,01100110
103,0.0039825439453125,01100111
104,0.0045318603515625,01101000
105,0.0043487548828125,01101001
106,0.00360107421875,01101010
107,0.0031585693359375,01101011
108,0.003936767578125,01101100
109,0.0032958984375,01101101
110,0.00286865234375,01101110
111,0.002655029296875,01101111
112,0.0026092529296875,01110000
113,0.0024261474609375,01110001
114,0.0026702880859375,01110010
115,0.0025634765625,01110011
116,0.0025634765625,01110100
117,0.002777099609375,01110101
118,0.00262451171875,01110110
119,0.0032958984375,01110111
120,0.00323486328125,01111000
121,0.0037384033203125,01111001
122,0.0037994384765625,01111010
123,0.003814697265625,01111011
124,0.0036773681640625,01111100
125,0.003387451171875,01111101
126,0.0040130615234375,01111110
127,0.0035247802734375,01111111
128,0.003204345703125,10000000
129,0.003662109375,10000001
130,0.0035400390625,10000010
131,0.0035552978515625,10000011
132,0.0038299560546875,10000100
133,0.00360107421875,10000101
134,0.00323486328125,10000110
135,0.0033721923828125,10000111
136,0.003448486328125,10001000
137,0.0032958984375,10001001
138,0.003814697265625,10001010
139,0.00390625,10001011
140,0.004791259765625,10001100
141,0.005889892578125,10001101
142,0.00604248046875,10001110
143,0.0064697265625,10001111
144,0.007354736328125,10010000
145,0.007720947265625,10010001
146,0.0087890625,10010010
147,0.008880615234375,10010011
148,0.0084686279296875,10010100
149,0.0087890625,10010101
150,0.00836181640625,10010110
151,0.00823974609375,10010111
152,0.0072479248046875,10011000
153,0.0060882568359375,10011001
154,0.0054931640625,10011010
155,0.006256103515625,10011011
156,0.0060882568359375,10011100
157,0.0062408447265625,10011101
158,0.00628662109375,10011110
159,0.007080078125,10011111
160,0.0068206787109375,10100000
161,0.0064239501953125,10100001
162,0.0068359375,10100010
163,0.006561279296875,10100011
164,0.0067291259765625,10100100
165,0.00714111328125,10100101
166,0.0074310302734375,10100110
167,0.0061798095703125,10100111
168,0.00665283203125,10101000
169,0.0063323974609375,10101001
170,0.006378173828125,10101010
171,0.0062103271484375,10101011
172,0.0065460205078125,10101100
173,0.006591796875,10101101
174,0.0054931640625,10101110
175,0.0062255859375,10101111
176,0.005767822265625,10110000
177,0.00604248046875,10110001
178,0.0064239501953125,10110010
179,0.0065460205078125,10110011
180,0.006500244140625,10110100
181,0.0063934326171875,10110101
182,0.0063629150390625,10110110
183,0.0066680908203125,10110111
184,0.00634765625,10111000
185,0.006927490234375,10111001
186,0.006805419921875,10111010
187,0.0063934326171875,10111011
188,0.0063323974609375,10111100
189,0.0069732666015625,10111101
190,0.007415771484375,10111110
191,0.0081634521484375,10111111
192,0.0074615478515625,11000000
193,0.0070343017578125,11000001
194,0.0071868896484375,11000010
195,0.006683349609375,11000011
196,0.0066986083984375,11000100
197,0.0056915283203125,11000101
198,0.0049591064453125,11000110
199,0.0050506591796875,11000111
200,0.0046539306640625,11001000
201,0.0044708251953125,11001001
202,0.005096435546875,11001010
203,0.0048980712890625,11001011
204,0.0044708251953125,11001100
205,0.00445556640625,11001101
206,0.0041961669921875,11001110
207,0.0036163330078125,11001111
208,0.0041656494140625,11010000
209,0.0040130615234375,11010001
210,0.0043792724609375,11010010
211,0.004364013671875,11010011
212,0.004241943359375,11010100
213,0.004180908203125,11010101
214,0.0044708251953125,11010110
215,0.003997802734375,11010111
216,0.003753662109375,11011000
217,0.004180908203125,11011001
218,0.003814697265625,11011010
219,0.00384521484375,11011011
220,0.0035400390625,11011100
221,0.0038604736328125,11011101
222,0.00341796875,11011110
223,0.003936767578125,11011111
224,0.0035247802734375,11100000
225,0.003875732421875,11100001
226,0.00372314453125,11100010
227,0.003692626953125,11100011
228,0.00311279296875,11100100
229,0.0026397705078125,11100101
230,0.0027923583984375,11100110
