Color Code,Probability,Codeword
188,1.52587890625e-05,10111100
189,0,10111101
190,1.52587890625e-05,10111110
191,6.103515625e-05,10111111
192,4.57763671875e-05,11000000
193,4.57763671875e-05,11000001
194,3.0517578125e-05,11000010
195,4.57763671875e-05,11000011
196,7.62939453125e-05,11000100
197,4.57763671875e-05,11000101
198,3.0517578125e-05,11000110
199,3.0517578125e-05,11000111
200,6.103515625e-05,11001000
201,7.62939453125e-05,11001001
202,9.1552734375e-05,11001010
203,7.62939453125e-05,11001011
204,4.57763671875e-05,11001100
205,4.57763671875e-05,11001101
206,9.1552734375e-05,11001110
207,6.103515625e-05,11001111
208,3.0517578125e-05,11010000
209,0.0001220703125,11010001
210,6.103515625e-05,11010010
211,1.52587890625e-05,11010011
212,7.62939453125e-05,11010100
213,3.0517578125e-05,11010101
214,4.57763671875e-05,11010110
215,6.103515625e-05,11010111
216,3.0517578125e-05,11011000
217,1.52587890625e-05,11011001
218,3.0517578125e-05,11011010
219,3.0517578125e-05,11011011
220,1.52587890625e-05,11011100
221,4.57763671875e-05,11011101
222,3.0517578125e-05,11011110
223,3.0517578125e-05,11011111
224,1.52587890625e-05,11100000
225,1.52587890625e-05,11100001
226,1.52587890625e-05,11100010
227,4.57763671875e-05,11100011
228,1.52587890625e-05,11100100
229,3.0517578125e-05,11100101
230,6.103515625e-05,11100110
231,3.0517578125e-05,11100111
232,9.1552734375e-05,11101000
233,1.52587890625e-05,11101001
234,3.0517578125e-05,11101010
235,1.52587890625e-05,11101011
236,4.57763671875e-05,11101100
237,9.1552734375e-05,11101101
238,3.0517578125e-05,11101110
239,1.52587890625e-05,11101111
240,1.52587890625e-05,11110000
241,9.1552734375e-05,11110001
242,4.57763671875e-05,11110010
243,3.0517578125e-05,11110011
244,6.103515625e-05,11110100
245,9.1552734375e-05,11110101
246,6.103515625e-05,11110110
247,0.0001373291015625,11110111
248,0.0003662109375,11111000
249,0.001007080078125,11111001
250,0.00250244140625,11111010
251,0.0099334716796875,11111011
252,0.0326690673828125,11111100
253,0.12933349609375,11111101
254,0.297805786132812,11111110
255,0.0842132568359375,11111111
